"des","pitcher_name","pitch_type","start_speed","end_speed"
"Called Strike","Phil Hughes","FF","92.5","85.7"
"Called Strike","Phil Hughes","FF","92.5","85.3"
"Ball","Phil Hughes","FF","91.2","84.0"
"Foul","Phil Hughes","FF","91.6","84.2"
"In play, out(s)","Phil Hughes","FF","91.9","85.3"
"Ball","Phil Hughes","FF","91.0","84.4"
"Swinging Strike","Phil Hughes","FC","86.4","80.7"
"Ball","Phil Hughes","FC","86.8","80.8"
"Ball","Phil Hughes","FF","91.7","84.7"
"In play, out(s)","Phil Hughes","FC","88.1","82.1"
"Called Strike","Phil Hughes","FF","91.4","84.2"
"In play, out(s)","Phil Hughes","FF","85.9","78.9"
"Ball","Phil Hughes","FF","92.3","84.8"
"Ball","Phil Hughes","FF","92.3","84.8"
"In play, out(s)","Phil Hughes","FC","87.2","80.6"
"In play, out(s)","Phil Hughes","FC","87.2","80.6"
"Ball","Phil Hughes","FF","90.4","83.4"
"Called Strike","Phil Hughes","FF","90.1","82.8"
"Foul","Phil Hughes","FF","90.7","83.2"
"Ball","Phil Hughes","FF","92.2","84.8"
"Foul","Phil Hughes","FF","91.3","84.3"
"Foul","Phil Hughes","FC","86.9","81.0"
"Swinging Strike","Phil Hughes","FF","91.7","84.7"
"Called Strike","Phil Hughes","FF","91.3","84.2"
"Ball","Phil Hughes","FF","91.1","83.9"
"In play, out(s)","Phil Hughes","FF","91.9","85.2"
"Called Strike","Phil Hughes","FF","91.6","83.9"
"In play, out(s)","Phil Hughes","FF","91.0","83.7"
"Ball","Phil Hughes","FF","90.9","84.3"
"Ball","Phil Hughes","FF","90.8","84.2"
"Called Strike","Phil Hughes","FF","90.5","84.2"
"Foul","Phil Hughes","FF","90.2","83.3"
"In play, out(s)","Phil Hughes","FF","90.8","83.5"
"Ball","Phil Hughes","FF","90.6","83.8"
"Called Strike","Phil Hughes","FF","90.1","84.1"
"In play, out(s)","Phil Hughes","FF","90.1","84.0"
"Ball","Mariano Rivera","FC","92.4","86.9"
"Ball","Mariano Rivera","FC","92.7","87.0"
"Called Strike","Mariano Rivera","FC","91.4","86.4"
"Foul","Mariano Rivera","FC","91.8","86.1"
"Foul Tip","Mariano Rivera","FC","93.0","87.1"
"Called Strike","Mariano Rivera","FC","92.3","85.6"
"Ball","Mariano Rivera","FC","92.8","85.9"
"In play, out(s)","Mariano Rivera","FF","92.6","85.6"
"Called Strike","Mariano Rivera","FC","93.1","85.8"
"Ball","Mariano Rivera","FC","92.9","85.9"
"Ball","Mariano Rivera","FF","92.1","85.0"
"Ball","Mariano Rivera","FC","92.9","86.6"
"Foul","Mariano Rivera","FC","92.9","87.0"
"Swinging Strike","Mariano Rivera","FC","93.4","86.5"
"Called Strike","Mariano Rivera","FC","93.0","85.9"
"Ball","Mariano Rivera","FC","92.3","84.4"
"In play, no out","Mariano Rivera","FC","92.5","84.7"
"Called Strike","Mariano Rivera","FC","93.5","85.4"
"Ball","Mariano Rivera","FC","92.5","85.1"
"Called Strike","Mariano Rivera","FC","93.3","85.9"
"Ball","Mariano Rivera","FC","92.7","84.0"
"Foul","Mariano Rivera","FF","94.3","85.9"
"In play, out(s)","Mariano Rivera","FC","92.4","84.8"
"Ball","Mariano Rivera","FC","93.5","85.8"
"Called Strike","Mariano Rivera","FC","92.8","84.4"
"In play, out(s)","Mariano Rivera","FC","92.6","85.1"
"Ball","Mariano Rivera","FF","92.3","83.8"
"Called Strike","Mariano Rivera","FF","92.8","84.0"
"Foul","Mariano Rivera","FC","92.5","84.3"
"Ball","Mariano Rivera","FC","92.9","85.5"
"Ball","Mariano Rivera","FC","92.4","84.5"
"Foul","Mariano Rivera","FC","92.7","84.2"
"Ball","Mariano Rivera","FC","91.9","84.2"
"Called Strike","Mariano Rivera","FC","91.7","84.1"
"Ball","Mariano Rivera","FC","92.8","84.5"
"Ball","Mariano Rivera","FC","92.6","85.1"
"Swinging Strike","Mariano Rivera","FC","92.6","84.7"
"Foul","Mariano Rivera","FC","93.3","85.3"
"Swinging Strike","Mariano Rivera","FF","93.6","85.9"
"Called Strike","Mariano Rivera","FC","92.2","84.0"
"In play, no out","Mariano Rivera","FC","93.0","84.9"
"Ball","Mariano Rivera","FC","92.3","86.2"
"Called Strike","Mariano Rivera","FC","91.4","85.6"
"In play, out(s)","Mariano Rivera","FC","91.9","86.1"
"Foul","Mariano Rivera","FC","91.1","85.7"
"Ball","Mariano Rivera","FF","92.4","86.5"
"In play, no out","Mariano Rivera","FC","91.9","86.5"
"Ball","Mariano Rivera","FF","92.7","86.6"
"Ball","Mariano Rivera","FC","91.4","86.1"
"Called Strike","Mariano Rivera","FC","91.3","85.4"
"Foul (Runner Going)","Mariano Rivera","FC","91.5","85.9"
"Foul","Mariano Rivera","FC","91.2","86.0"
"Ball","Mariano Rivera","FC","93.5","87.5"
"In play, run(s)","Mariano Rivera","FC","93.2","86.7"
"Called Strike","Mariano Rivera","FF","93.5","87.9"
"Ball","Mariano Rivera","FC","92.9","86.8"
"Called Strike","Mariano Rivera","FC","92.8","86.8"
"Ball","Mariano Rivera","FC","93.2","87.3"
"Swinging Strike","Mariano Rivera","FC","92.6","86.3"
"Called Strike","Phil Hughes","FF","90.5","82.8"
"In play, out(s)","Phil Hughes","FF","90.5","83.4"
